Ime,Kraj,Leto,Moc [kW],Regija
Samooskrba,Loče,2018,10,Celjska
Samooskrba,Nova Cerkev,2018,11,Celjska
Samooskrba,Šoštanj,2018,10.83,Celjska
Samooskrba,Šmarje pri Jelšah,2018,11,Celjska
Samooskrba,Šentjur,2018,11,Celjska
Samooskrba,Mozirje,2018,11,Celjska
Samooskrba,Šmarje pri Jelšah,2018,10.92,Celjska
Samooskrba,Planina pri Sevnici,2018,11,Celjska
Samooskrba,Planina pri Sevnici,2018,11,Celjska
Samooskrba,Dramlje,2018,10.83,Celjska
Samooskrba,Škofja vas,2018,9.69,Celjska
Samooskrba,Ponikva,2018,10.8,Celjska
Samooskrba,Škofja vas,2018,11,Celjska
Samooskrba,Podčetrtek,2018,11,Celjska
Samooskrba,Celje,2018,10,Celjska
Samooskrba,Mozirje,2018,11,Celjska
Samooskrba,Šoštanj,2018,10.8,Celjska
Samooskrba,Velenje,2018,8.4,Celjska
Samooskrba,Braslovče,2018,7.83,Celjska
Samooskrba,Planina pri Sevnici,2018,11,Celjska
Samooskrba,Šentjernej,2016,11,Dolenjska
Samooskrba,PIŠECE,2016,11,Dolenjska
Samooskrba,LESKOVEC,2016,11,Dolenjska
Samooskrba,Šentjernej,2016,11,Dolenjska
Samooskrba,Brežice,2016,8,Dolenjska
Samooskrba,Novo Mesto,2016,8.12,Dolenjska
Samooskrba,Trebnje,2017,3,Dolenjska
Samooskrba,Novo mesto,2017,8,Dolenjska
Samooskrba,Šentjernej,2017,8,Dolenjska
Samooskrba,Dvor,2017,7,Dolenjska
Samooskrba,Mirna Peč,2017,9,Dolenjska
Samooskrba,Šmarješke Toplice,2017,10,Dolenjska
Samooskrba,Šmarješke Toplice,2017,10,Dolenjska
Samooskrba,Brusnice,2017,8,Dolenjska
Samooskrba,Dobova,2017,9.12,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Straža,2017,9,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Gradac,2017,10,Dolenjska
Samooskrba,Šmarješke Toplice,2017,9,Dolenjska
Samooskrba,Mirna,2017,10,Dolenjska
Samooskrba,Trebnje,2017,10,Dolenjska
Samooskrba,Mirna,2017,10,Dolenjska
Samooskrba,Novo mesto,2017,8,Dolenjska
